date,team,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,FG%,FG3%,FT%,REB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,win%,FG%_opp,FG3%_opp,FT%_opp,REB/G_opp,AST/G_opp,STL/G_opp,BLK/G_opp,TOV/G_opp,PF/G_opp,PTS/G_opp,win%_opp,home
2021-10-22,Toronto,Boston,115,83,240.0,-280.0,217.5,7.0,105.0,0.30927835051546393,0.20588235294117646,0.7272727272727273,54.0,14.0,10.0,4.0,19.0,21.0,83.0,0.0,0.41025641025641024,0.3684210526315789,0.7391304347826086,56.0,34.0,13.0,9.0,18.0,24.0,134.0,0.0,0
2021-10-22,New Orleans,Chicago,112,128,235.0,-275.0,222.5,7.0,113.5,0.41935483870967744,0.43333333333333335,0.6666666666666666,44.0,28.0,5.0,6.0,13.0,16.0,97.0,0.0,0.43023255813953487,0.30434782608695654,0.8666666666666667,48.0,18.0,8.0,5.0,17.0,19.0,94.0,1.0,0
2021-10-22,San Antonio,Denver,96,102,260.0,-310.0,222.0,7.5,108.0,0.5,0.43333333333333335,0.6666666666666666,43.0,32.0,8.0,3.0,8.0,22.0,123.0,1.0,0.5301204819277109,0.4358974358974359,0.5555555555555556,46.0,25.0,9.0,1.0,17.0,20.0,110.0,1.0,0
2021-10-22,Oklahoma City,Houston,91,124,130.0,-150.0,221.0,2.5,107.0,0.37362637362637363,0.2,0.6111111111111112,50.0,19.0,4.0,2.0,14.0,15.0,86.0,0.0,0.45454545454545453,0.3333333333333333,0.6818181818181818,41.0,21.0,13.0,3.0,24.0,25.0,106.0,0.0,0
2021-10-22,Washington,Indiana,135,134,110.0,-130.0,225.5,2.0,111.5,0.4444444444444444,0.18518518518518517,0.8076923076923077,51.0,20.0,14.0,8.0,21.0,17.0,98.0,1.0,0.4666666666666667,0.3617021276595745,0.875,51.0,29.0,2.0,10.0,16.0,24.0,122.0,0.0,1
2021-10-22,Chicago,New Orleans,128,112,-275.0,235.0,222.5,-7.0,113.5,0.43023255813953487,0.30434782608695654,0.8666666666666667,48.0,18.0,8.0,5.0,17.0,19.0,94.0,1.0,0.41935483870967744,0.43333333333333335,0.6666666666666666,44.0,28.0,5.0,6.0,13.0,16.0,97.0,0.0,1
2021-10-22,Orlando,New York,96,121,290.0,-350.0,212.0,7.5,103.5,0.4069767441860465,0.3103448275862069,0.782608695652174,44.0,17.0,6.0,6.0,16.0,20.0,97.0,0.0,0.4857142857142857,0.37777777777777777,0.7037037037037037,55.0,27.0,9.0,10.0,17.0,22.0,138.0,1.0,1
2021-10-22,Houston,Oklahoma City,124,91,-150.0,130.0,221.0,-2.5,107.0,0.45454545454545453,0.3333333333333333,0.6818181818181818,41.0,21.0,13.0,3.0,24.0,25.0,106.0,0.0,0.37362637362637363,0.2,0.6111111111111112,50.0,19.0,4.0,2.0,14.0,15.0,86.0,0.0,1
2021-10-22,New York,Orlando,121,96,-350.0,290.0,212.0,-7.5,103.5,0.4857142857142857,0.37777777777777777,0.7037037037037037,55.0,27.0,9.0,10.0,17.0,22.0,138.0,1.0,0.4069767441860465,0.3103448275862069,0.782608695652174,44.0,17.0,6.0,6.0,16.0,20.0,97.0,0.0,0
2021-10-22,Utah,Sacramento,110,101,-240.0,200.0,227.0,-6.5,116.5,0.43956043956043955,0.2978723404255319,0.8666666666666667,53.0,18.0,6.0,5.0,10.0,19.0,107.0,1.0,0.45652173913043476,0.4146341463414634,0.7931034482758621,43.0,24.0,6.0,4.0,10.0,22.0,124.0,1.0,0
2021-10-22,Denver,San Antonio,102,96,-310.0,260.0,222.0,-7.5,108.0,0.5301204819277109,0.4358974358974359,0.5555555555555556,46.0,25.0,9.0,1.0,17.0,20.0,110.0,1.0,0.5,0.43333333333333335,0.6666666666666666,43.0,32.0,8.0,3.0,8.0,22.0,123.0,1.0,1
2021-10-22,Boston,Toronto,83,115,-280.0,240.0,217.5,-7.0,105.0,0.41025641025641024,0.3684210526315789,0.7391304347826086,56.0,34.0,13.0,9.0,18.0,24.0,134.0,0.0,0.30927835051546393,0.20588235294117646,0.7272727272727273,54.0,14.0,10.0,4.0,19.0,21.0,83.0,0.0,1
2021-10-22,Sacramento,Utah,101,110,200.0,-240.0,227.0,6.5,116.5,0.45652173913043476,0.4146341463414634,0.7931034482758621,43.0,24.0,6.0,4.0,10.0,22.0,124.0,1.0,0.43956043956043955,0.2978723404255319,0.8666666666666667,53.0,18.0,6.0,5.0,10.0,19.0,107.0,1.0,1
2021-10-22,Indiana,Washington,134,135,-130.0,110.0,225.5,-2.0,111.5,0.4666666666666667,0.3617021276595745,0.875,51.0,29.0,2.0,10.0,16.0,24.0,122.0,0.0,0.4444444444444444,0.18518518518518517,0.8076923076923077,51.0,20.0,14.0,8.0,21.0,17.0,98.0,1.0,0
2021-10-23,Cleveland,Atlanta,101,95,300.0,-360.0,223.5,8.5,109.5,0.5084745762711864,0.3333333333333333,0.7894736842105263,36.0,32.0,7.5,4.0,14.0,16.0,116.5,0.0,0.4787234042553192,0.42857142857142855,0.8888888888888888,55.0,31.0,8.0,9.0,13.0,16.0,113.0,1.0,1
2021-10-23,Detroit,Chicago,82,97,280.0,-340.0,213.5,8.0,104.0,0.4,0.21428571428571427,0.7692307692307693,47.0,17.0,7.0,5.0,16.0,16.0,88.0,0.0,0.48,0.4117647058823529,0.825,47.0,25.0,8.5,6.0,15.5,16.5,111.0,1.0,0
2021-10-23,Atlanta,Cleveland,95,101,-360.0,300.0,223.5,-8.5,109.5,0.4787234042553192,0.42857142857142855,0.8888888888888888,55.0,31.0,8.0,9.0,13.0,16.0,113.0,1.0,0.5084745762711864,0.3333333333333333,0.7894736842105263,36.0,32.0,7.5,4.0,14.0,16.0,116.5,0.0,0
2021-10-23,Toronto,Dallas,95,103,170.0,-190.0,217.5,5.0,105.0,0.36548223350253806,0.2463768115942029,0.8604651162790697,57.0,18.0,13.0,3.0,15.0,17.0,99.0,0.5,0.3333333333333333,0.3023255813953488,0.9230769230769231,50.0,16.0,7.0,3.0,15.0,21.0,87.0,0.0,1
2021-10-23,Chicago,Detroit,97,82,-340.0,280.0,213.5,-8.0,104.0,0.48,0.4117647058823529,0.825,47.0,25.0,8.5,6.0,15.5,16.5,111.0,1.0,0.4,0.21428571428571427,0.7692307692307693,47.0,17.0,7.0,5.0,16.0,16.0,88.0,0.0,1
2021-10-23,Miami,Indiana,91,102,-155.0,135.0,222.0,-3.0,107.5,0.53125,0.42857142857142855,0.6451612903225806,58.0,28.0,8.0,2.0,11.0,26.0,137.0,1.0,0.5026737967914439,0.3950617283950617,0.8181818181818182,46.5,28.5,3.5,8.0,14.0,23.0,128.0,0.0,0
2021-10-23,Memphis,LA Clippers,120,114,155.0,-175.0,226.0,4.0,115.5,0.53,0.42424242424242425,1.0,53.0,28.0,8.0,8.0,10.0,15.0,132.0,1.0,0.4375,0.35,0.7142857142857143,39.0,24.0,9.0,2.0,7.0,25.0,113.0,0.0,0
2021-10-23,LA Clippers,Memphis,114,120,-175.0,155.0,226.0,-4.0,115.5,0.4375,0.35,0.7142857142857143,39.0,24.0,9.0,2.0,7.0,25.0,113.0,0.0,0.53,0.42424242424242425,1.0,53.0,28.0,8.0,8.0,10.0,15.0,132.0,1.0,1
2021-10-23,Indiana,Miami,102,91,135.0,-155.0,222.0,3.0,107.5,0.5026737967914439,0.3950617283950617,0.8181818181818182,46.5,28.5,3.5,8.0,14.0,23.0,128.0,0.0,0.53125,0.42857142857142855,0.6451612903225806,58.0,28.0,8.0,2.0,11.0,26.0,137.0,1.0,1
2021-10-23,San Antonio,Milwaukee,111,121,210.0,-250.0,225.5,6.0,114.5,0.489010989010989,0.35185185185185186,0.6875,41.0,28.0,9.5,2.5,14.0,19.5,109.5,0.5,0.42328042328042326,0.3333333333333333,0.7021276595744681,46.0,22.0,7.0,4.5,11.0,22.5,111.0,0.5,1
2021-10-23,New Orleans,Minnesota,89,96,260.0,-310.0,228.5,7.5,115.5,0.45,0.4745762711864407,0.76,43.0,27.0,6.0,5.5,14.5,18.0,104.5,0.0,0.4827586206896552,0.42105263157894735,0.7741935483870968,46.0,26.0,18.0,12.0,18.0,22.0,124.0,1.0,0
2021-10-23,Minnesota,New Orleans,96,89,-310.0,260.0,228.5,-7.5,115.5,0.4827586206896552,0.42105263157894735,0.7741935483870968,46.0,26.0,18.0,12.0,18.0,22.0,124.0,1.0,0.45,0.4745762711864407,0.76,43.0,27.0,6.0,5.5,14.5,18.0,104.5,0.0,1
2021-10-23,Milwaukee,San Antonio,121,111,-250.0,210.0,225.5,-6.0,114.5,0.42328042328042326,0.3333333333333333,0.7021276595744681,46.0,22.0,7.0,4.5,11.0,22.5,111.0,0.5,0.489010989010989,0.35185185185185186,0.6875,41.0,28.0,9.5,2.5,14.0,19.5,109.5,0.5,0
